	dist_type_ambigious	dist_type_portal
26x34	396.83308833815744	393.6268537587339
26x36	311.5876923114905	289.5922823557284
26x38	264.8043806284178	206.65662341188107
26x40	272.6250355341564	179.77822448783948
26x42	244.50983620296338	218.14641871917135
26x44	121.01388350102641	305.57022106219716
26x46	8.015609770940808	413.9517483958728
26x48	71.79080721095178	526.8355720715908
26x50	192.02044162015704	638.9526195266752
26x52	321.949623388505	759.2868759566443
26x54	450.0116442937895	881.6415825039107
26x56	572.7209617256909	1002.3055921224826
26x58	706.0487872661492	1130.7019456956816
27x21	213.04581666862165	1180.73931077101
27x23	115.90038826509617	1054.7432388975053
27x25	116.59266700783573	926.1748485032401
27x27	201.61155720841006	801.1297148402373
27x29	305.49666119288446	676.8646910572305
27x31	399.2571226665844	555.8428285046052
27x33	482.51916024133163	428.9955011419116
27x35	390.8033392897249	308.35377409722076
27x37	332.47930762680545	208.5034532088136
27x39	316.2559248456858	129.21613676317668
27x41	322.91789978259146	139.4739043692404
27x43	198.62942883671573	223.92197301738852
27x45	97.08784681925964	327.89060675780263
27x47	57.44736721556548	443.8170794370134
27x49	145.7027453413285	558.7085913067741
27x51	265.3755452184699	679.2043727774434
27x53	390.8471312418709	805.3769800534408
27x55	520.9005759259632	929.9669940379606
27x57	644.9692860904311	1054.6884753328825
28x20	301.25026141067485	1243.20252573746
28x22	206.04011745288847	1112.4887999436219
28x24	160.3659876657139	990.202125830883
28x26	153.44705927452614	863.8125954163901
28x28	213.68455723332016	734.3366326147699
28x30	313.29608998517705	605.5155159035974
28x32	424.04368878689866	476.8599899341523
28x34	483.89131011002866	350.8233173550467
28x36	414.05044378674444	232.81316543529053
28x38	382.06714069650127	114.21077007007662
28x40	384.3333058687473	65.09600602187518
28x42	287.04921180870684	132.7239616648029
28x44	180.8521219117983	247.13941409657843
28x46	118.75116841530462	359.7769308891274
28x48	134.39858630208906	480.4583020408745
28x50	227.82732496344696	606.1693575231265
28x52	343.0213550203545	723.8634194376729
28x54	473.9886602019084	862.1247299550107
28x56	591.1790591690476	981.5550315698048
28x58	718.9005633604697	1108.0204059492773
29x19	379.8085438744105	1299.474328334346
29x21	283.7516695986121	1184.0739883976844
29x23	157.9154203996554	1045.5183786046036
29x25	86.49190713587005	914.5045926620597
29x27	128.1955537450501	788.5313563834982
29x29	228.5415717107065	663.9708201419697
29x31	343.7258355142949	536.7413250346947
29x33	469.64736771326636	403.53816424224357
29x35	487.53097337502567	288.5474830942039
29x37	449.9070681818635	153.59221985504308
29x39	432.1708574163697	27.796582523756214
29x41	370.28520089250117	50.06925204154756
29x43	265.53832115158076	164.30337793240892
29x45	187.41731510188703	282.6238666496518
29x47	169.7747036516335	405.45412810822415
29x49	223.77604876304358	530.5579327462742
29x51	316.3489370932043	657.6964725464172
29x53	425.9358167611644	785.7026918625139
29x55	546.3588930364365	911.5864413208438
29x57	666.1213778283958	1037.728235136734
29x59	790.0849637855413	1165.0683456347099
30x20	306.8245915828781	1225.0292772011612
30x22	187.70002663825042	1104.2474813192919
30x24	70.95244886541961	979.6031084066647
30x26	58.895500677046485	845.4658360927423
30x28	158.86724017241545	714.8097649025229
30x30	275.5204711087727	591.3259084464335
