gene_id	gene_biotype	gene_name	species
PBANKA_0210500	protein_coding	PBANKA-0210500-pb	p.berghei
PBANKA_0210600	protein_coding	PBANKA-0210600-pb	p.berghei
PBANKA_0210700	protein_coding	PBANKA-0210700-pb	p.berghei
PBANKA_0210800	protein_coding	PBANKA-0210800-pb	p.berghei
PBANKA_0210900	protein_coding	OST2-pb	p.berghei
PBANKA_0211000	protein_coding	TIM50-pb	p.berghei
PBANKA_0211100	protein_coding	VPS53-pb	p.berghei
PBANKA_0211200	protein_coding	PBANKA-0211200-pb	p.berghei
PBANKA_0211300	protein_coding	NFS1-pb	p.berghei
PBANKA_0211400	protein_coding	DNMT-pb	p.berghei
PBANKA_0211500	protein_coding	PBANKA-0211500-pb	p.berghei
PBANKA_0211600	protein_coding	PBANKA-0211600-pb	p.berghei
PBANKA_0211700	protein_coding	PBANKA-0211700-pb	p.berghei
PBANKA_0211800	protein_coding	PBANKA-0211800-pb	p.berghei
PBANKA_0211900	protein_coding	PBANKA-0211900-pb	p.berghei
PBANKA_0212000	protein_coding	PBANKA-0212000-pb	p.berghei
PBANKA_0212100	protein_coding	eIF2alpha-pb	p.berghei
PBANKA_0212200	protein_coding	PBANKA-0212200-pb	p.berghei
PBANKA_0212300	protein_coding	ALP3-pb	p.berghei
PBANKA_0212400	protein_coding	PBANKA-0212400-pb	p.berghei
PBANKA_0212500	protein_coding	PBANKA-0212500-pb	p.berghei
PBANKA_0212600	protein_coding	PBANKA-0212600-pb	p.berghei
PBANKA_0212700	protein_coding	PBANKA-0212700-pb	p.berghei
PBANKA_0212800	protein_coding	PBANKA-0212800-pb	p.berghei
PBANKA_0212900	protein_coding	PBANKA-0212900-pb	p.berghei
PBANKA_0213000	protein_coding	PBANKA-0213000-pb	p.berghei
PBANKA_0213100	protein_coding	SRP9-pb	p.berghei
PBANKA_0213200	protein_coding	PBANKA-0213200-pb	p.berghei
PBANKA_0213300	protein_coding	AOP-pb	p.berghei
PBANKA_0213400	protein_coding	NMD3-pb	p.berghei
PBANKA_0213500	protein_coding	PBANKA-0213500-pb	p.berghei
PBANKA_0213600	protein_coding	MT-A70-pb	p.berghei
PBANKA_0213700	protein_coding	CMC1-pb	p.berghei
PBANKA_0213800	protein_coding	PBANKA-0213800-pb	p.berghei
PBANKA_0213900	protein_coding	PBANKA-0213900-pb	p.berghei
PBANKA_0214000	protein_coding	PBANKA-0214000-pb	p.berghei
PBANKA_0214100	protein_coding	PBANKA-0214100-pb	p.berghei
PBANKA_0214200	protein_coding	PBANKA-0214200-pb	p.berghei
PBANKA_0214300	protein_coding	PBANKA-0214300-pb	p.berghei
PBANKA_0214400	protein_coding	AP2-L-pb	p.berghei
PBANKA_0214500	protein_coding	IMP2-pb	p.berghei
PBANKA_0214521	tRNA_encoding	PBANKA-0214521-pb	p.berghei
PBANKA_0214531	tRNA_encoding	PBANKA-0214531-pb	p.berghei
PBANKA_0214550	protein_coding	PBANKA-0214550-pb	p.berghei
PBANKA_0214600	protein_coding	PBANKA-0214600-pb	p.berghei
PBANKA_0214700	protein_coding	PBANKA-0214700-pb	p.berghei
PBANKA_0214800	protein_coding	PBANKA-0214800-pb	p.berghei
PBANKA_0214900	protein_coding	PBANKA-0214900-pb	p.berghei
PBANKA_0214951	protein_coding	PBANKA-0214951-pb	p.berghei
PBANKA_0215700	protein_coding	PBANKA-0215700-pb	p.berghei
PBANKA_0215800	protein_coding	PBANKA-0215800-pb	p.berghei
PBANKA_0215900	protein_coding	PBANKA-0215900-pb	p.berghei
PBANKA_0216000	protein_coding	PBANKA-0216000-pb	p.berghei
PBANKA_0216021	protein_coding	PBANKA-0216021-pb	p.berghei
PBANKA_0216041	protein_coding	PBANKA-0216041-pb	p.berghei
PBANKA_0216061	protein_coding	PBANKA-0216061-pb	p.berghei
PBANKA_0216081	protein_coding	PBANKA-0216081-pb	p.berghei
PBANKA_0216701	protein_coding	PBANKA-0216701-pb	p.berghei
PBANKA_0216721	protein_coding	PBANKA-0216721-pb	p.berghei
PBANKA_0216741	protein_coding	PBANKA-0216741-pb	p.berghei
PBANKA_0216761	protein_coding	Pb235-pb.1	p.berghei
PBANKA_0216781	protein_coding	PBANKA-0216781-pb	p.berghei
PBANKA_0216801	protein_coding	PBANKA-0216801-pb	p.berghei
PBANKA_0300100	protein_coding	PBANKA-0300100-pb	p.berghei
PBANKA_0300200	protein_coding	PBANKA-0300200-pb	p.berghei
PBANKA_0300300	protein_coding	PBANKA-0300300-pb	p.berghei
PBANKA_0300400	protein_coding	PBANKA-0300400-pb	p.berghei
PBANKA_0300500	protein_coding	PBANKA-0300500-pb	p.berghei
PBANKA_0300600	protein_coding	PBANKA-0300600-pb	p.berghei
PBANKA_0300700	protein_coding	PBANKA-0300700-pb	p.berghei
PBANKA_0300800	protein_coding	OPP-pb	p.berghei
PBANKA_0300900	protein_coding	PBANKA-0300900-pb	p.berghei
PBANKA_0301000	protein_coding	ROPE-pb	p.berghei
PBANKA_0301100	protein_coding	PBANKA-0301100-pb	p.berghei
PBANKA_0301200	protein_coding	ERCC1-pb	p.berghei
PBANKA_0301300	protein_coding	PBANKA-0301300-pb	p.berghei
PBANKA_0301351	tRNA_encoding	PBANKA-0301351-pb	p.berghei
PBANKA_0301400	protein_coding	PBANKA-0301400-pb	p.berghei
PBANKA_0301500	protein_coding	MAK16-pb	p.berghei
PBANKA_0301600	protein_coding	PBANKA-0301600-pb	p.berghei
PBANKA_0301700	protein_coding	PBANKA-0301700-pb	p.berghei
PBANKA_0301800	protein_coding	CAPH2-pb	p.berghei
PBANKA_0301900	protein_coding	PBANKA-0301900-pb	p.berghei
PBANKA_0302000	protein_coding	PBANKA-0302000-pb	p.berghei
PBANKA_0302100	protein_coding	PBANKA-0302100-pb	p.berghei
PBANKA_0302200	protein_coding	PBANKA-0302200-pb	p.berghei
PBANKA_0302300	protein_coding	AspAT-pb	p.berghei
PBANKA_0302400	protein_coding	PBANKA-0302400-pb	p.berghei
PBANKA_0302500	protein_coding	HT1-pb	p.berghei
PBANKA_0302600	protein_coding	PBANKA-0302600-pb	p.berghei
PBANKA_0302700	protein_coding	COQ5-pb	p.berghei
PBANKA_0302800	protein_coding	PBANKA-0302800-pb	p.berghei
PBANKA_0302900	protein_coding	PBANKA-0302900-pb	p.berghei
PBANKA_0303000	protein_coding	PBANKA-0303000-pb	p.berghei
PBANKA_0303100	protein_coding	PBANKA-0303100-pb	p.berghei
PBANKA_0303200	protein_coding	PBANKA-0303200-pb	p.berghei
PBANKA_0303300	protein_coding	PBANKA-0303300-pb	p.berghei
PBANKA_0303400	protein_coding	PBANKA-0303400-pb	p.berghei
PBANKA_0303500	protein_coding	PH1-pb	p.berghei
PBANKA_0303600	protein_coding	RPN1-pb	p.berghei
PBANKA_0303700	protein_coding	RAD2-pb	p.berghei
PBANKA_0303800	protein_coding	SufE-pb	p.berghei
PBANKA_0303900	protein_coding	PAT-pb	p.berghei
PBANKA_0304000	protein_coding	AROM-pb	p.berghei
PBANKA_0304100	protein_coding	PBANKA-0304100-pb	p.berghei
PBANKA_0304200	protein_coding	PBANKA-0304200-pb	p.berghei
PBANKA_0304300	protein_coding	ADSL-pb	p.berghei
PBANKA_0304400	protein_coding	MSP4/5-pb	p.berghei
PBANKA_0304500	protein_coding	PBANKA-0304500-pb	p.berghei
PBANKA_0304600	protein_coding	ISCA1-pb	p.berghei
PBANKA_0304700	protein_coding	SERA5-pb	p.berghei
PBANKA_0304800	protein_coding	SERA4-pb	p.berghei
PBANKA_0304900	protein_coding	SERA3-pb	p.berghei
PBANKA_0305000	protein_coding	SERA2-pb	p.berghei
PBANKA_0305100	protein_coding	SERA1-pb	p.berghei
PBANKA_0305200	protein_coding	PBANKA-0305200-pb	p.berghei
PBANKA_0305300	protein_coding	KRR1-pb	p.berghei
PBANKA_0305400	protein_coding	PBANKA-0305400-pb	p.berghei
PBANKA_0305500	protein_coding	PBANKA-0305500-pb	p.berghei
PBANKA_0305600	protein_coding	ACP-pb	p.berghei
PBANKA_0305700	protein_coding	RRF1-pb	p.berghei
PBANKA_0305800	protein_coding	PBANKA-0305800-pb	p.berghei
PBANKA_0305900	protein_coding	PBANKA-0305900-pb	p.berghei
PBANKA_0306000	protein_coding	P230p-pb	p.berghei
PBANKA_0306100	protein_coding	P230-pb	p.berghei
