	dist_type_ROI	dist_type_ambigious	dist_type_central	dist_type_portal
46x32	642.8277063101746	53.222739501081755	53.64568948200785	335.40879535277537
46x34	576.5337284149126	85.10428896360058	85.03140596273842	333.6572193134744
46x36	532.028006781598	165.1278292717495	165.02242271885373	212.69555707630525
46x38	514.478726479531	176.43627744882858	183.8356875038142	106.49112639088754
46x40	432.6641769317169	102.48360844544865	107.17037837014497	60.202076376151496
46x42	310.38827297435046	107.85119378106143	110.71982658945987	140.25647935122302
46x44	193.11460328002102	202.99766008503684	193.79176969107826	258.20040666118274
46x46	89.08254598966055	315.93559470246487	88.9837063736951	381.0308386469527
46x48	45.886054526403	438.45561919081416	48.848029642965415	508.34331902760374
46x50	125.65707302018478	563.4242628783395	126.94447605154015	635.3692627126372
46x52	233.1746555695968	606.7114800298413	242.93460025282542	762.3122850905659
46x54	352.3476692132363	607.8595890499716	365.1822558668482	887.395334673335
46x56	474.9120550165052	630.8050887556315	485.21156210461436	1013.7492096174477
46x58	601.5074812502338	675.6952345547514	610.1906669230532	1142.7474130357944
46x60	727.6028037329158	741.9806196929945	735.3675543563232	1269.6636720013692
46x62	855.168486323017	823.0392092725597	835.980585898979	1397.8895306854545
47x29	809.830858883508	4.429446918069656	6.754257916307074	252.52330585512263
47x31	727.1624302726318	90.37366873155067	93.7795286829704	258.815764589408
47x33	656.7219350684126	64.10382203893924	73.99256719427962	321.3902612090165
47x35	605.5901254148719	78.4372360553329	78.31219572965641	262.5737991498767
47x37	576.0060589959105	195.81363588882178	195.54891971064447	134.69736448795098
47x39	510.771651523457	178.2040403582366	186.5000804289371	20.529978080845265
47x41	391.2907997896194	146.9438328069608	150.98639011513606	57.80908233141218
47x43	277.56548776820216	191.62098006220555	194.092761328186	182.7046797430216
47x45	174.9857708500894	288.66454579667396	174.904602569515	309.7625219422131
47x47	101.48226446034819	400.03481098524435	101.80004911590194	439.01873536331004
47x49	124.32670670455347	514.9214794509938	124.16815211639441	564.3407924295391
47x51	210.7877131144034	639.0457417118122	211.62102920078627	694.297817942704
47x53	315.31186149588524	660.6063653947034	322.02914464377335	821.4624580587969
47x55	429.8828793985637	671.1155563686482	440.4948240331548	947.3220624476135
47x57	553.5560856859945	704.6499414602973	565.8398536688628	1077.7969845940377
47x59	675.6000296033153	758.246397947264	686.3365063873555	1203.427521706231
47x61	802.3806141726011	826.0037832843144	811.7972961275498	1333.8672535151318
48x28	893.3111719887982	44.430282465903815	45.79574216016161	219.108762946624
48x30	809.8743174098067	28.9000000000002	36.864752813494064	190.65940837000377
48x32	738.5094447601875	99.32774033471213	99.63232407206014	236.80076013391485
48x34	681.5576424632035	1.4212670403555288	7.484650960465634	324.70851544115646
48x36	642.4513211131255	121.94137935910028	124.73692316230992	197.25339033841718
48x38	589.608293700148	246.2501573603558	249.65083616923854	72.13002148897507
48x40	473.68985634062284	216.497297904616	220.31586415871206	0.28284271247436177
48x42	363.01316780524644	212.19886898850342	215.79286364474623	117.78013414833592
48x44	260.4555432314696	277.00666056974165	260.37605496665765	246.1972583112982
48x46	177.66004052684434	373.16737531568873	180.0996668514408	373.3096435936261
48x48	155.8536813809672	482.3058884152259	156.98971303878497	502.95523657677563
48x50	207.67640694118353	597.5738364419917	208.63913822674803	630.9568051776606
48x52	295.6876730606133	716.8600979270643	296.3636279977692	758.0482834226328
48x54	396.86532980344873	718.8844761155998	401.9244829566869	883.1979902603946
48x56	511.0356641174862	735.2954848222587	520.0221629892328	1013.9859219930029
48x58	630.7109163475769	781.1938683835147	641.6963923850594	1140.066778745877
48x60	748.052364477247	830.9139185258606	759.9741706137124	1265.5540841860532
48x62	874.9735138848492	908.7873513644435	885.8268736045437	1395.408488579599
49x29	895.2620733617616	63.70070643250383	70.70063648935582	140.28036213240935
49x31	821.3696914301138	114.52846807671912	122.76387905243169	153.11227906343737
