	dist_type_4	dist_type_central	dist_type_parasite	dist_type_portal
26x36	42.682197694120774	314.49605720898944	445.7534856846327	0.4123105625618322
26x38	34.58337751001201	187.0583064180792	518.1048253008266	35.284699233520534
26x40	82.3046171244357	73.19050484864808	406.76215409007733	82.69008404881419
26x42	32.74095294886831	70.21659348045885	304.56357300241933	0.4123105625618322
26x44	48.90040899624469	181.6828280273072	225.94921995882154	48.90654352947065
26x46	119.83271673462137	316.96258454271873	192.74200372518678	120.23510302736054
26x48	221.5245584579733	441.60562722863955	158.43525491505963	221.98542744964146
27x15	661.7318036788015	1341.2075827402705	615.8579219268026	662.5609255004402
27x21	296.0546740046506	1144.913171380258	466.1280618027626	296.61721123360314
27x23	181.20540830780953	1096.5759435625057	381.97094130313104	181.4216084153152
27x25	104.4375411430199	1021.2000783392056	259.6097070604255	105.30906893520603
27x27	154.99319339893592	896.0076394763607	155.77576833384595	155.57149481829876
27x29	230.9031182119462	757.0001651254773	112.78408575681235	231.59933074169277
27x31	157.8718784331141	624.7000320153663	174.35518346180623	158.7467479981872
27x33	39.32492848054498	500.80000998402517	278.8434148406595	39.696977214896066
27x35	25.119912420229404	377.0000132625992	392.8103995568345	25.17955519861293
27x37	44.31895756896852	244.40002045826392	521.1064862386577	0.41231056256139104
27x39	45.190817651377	113.09999999999991	435.8378253433265	45.70787678289167
27x41	51.27114198065028	0.36055512754632324	321.6117690632601	51.66749461702198
27x43	41.308836827003766	114.136847687327	217.10831398175395	41.85235955116537
27x45	31.022088904521265	246.65273158836126	150.72746929475068	31.470144581809922
27x47	135.5752558544515	369.40066323708743	135.06979677189096	136.05458463425623
27x49	259.55533128795497	499.9003600718848	103.33426343667439	260.01263430841215
28x10	977.7594182619771	1456.4446711083808	741.0493101002118	978.7019362400382
28x12	850.2784955530745	1389.3121751427936	668.0771811699603	851.2143795777887
28x14	721.5920454107014	1324.4224703620816	605.9624410803029	722.5288091142108
28x16	592.6192706957814	1256.1391642648514	530.508058374234	593.5388782548283
28x20	337.4470328807175	1112.9162142767082	411.4978736275559	338.30829135568047
28x22	215.5579968361182	1063.0047271766948	403.5971382455528	216.31238984394756
28x24	91.4260903681218	1019.2468444886154	347.1981134741375	91.77652205221102
28x26	70.02092544375563	960.0575659823736	241.76006700859435	70.46225940175339
28x28	136.33876924778227	834.732927348622	178.85933020113876	137.00021897792723
28x30	238.29278209798957	693.9802951093062	183.49128044678324	238.91431518433535
28x32	123.1025994851449	565.8774160540426	257.1035783492715	123.30145984537248
28x34	75.84260016639755	437.4783423210799	363.06266676704746	76.37342469733856
28x36	32.93174760015001	303.31452322630355	484.72146641138175	33.48581789354988
28x38	11.035397591387232	186.0789617339906	486.61132333721935	0.42426406871218575
28x40	94.3934849446722	64.76982322038548	360.042122535683	95.02278674086577
28x42	80.23222544588928	77.11296907784092	235.87668388376127	81.00006172837155
28x44	26.459402865521856	186.9569469155936	133.10184070853404	27.30018314956852
28x46	63.313347723841154	315.6190425180334	84.14618232575943	63.385960590654626
28x48	185.48714241154303	438.0957429603718	54.78576457438523	185.89427102522563
29x7	1165.135537180117	1515.4869910362145	826.1890945782324	1166.121614584002
29x9	1037.1348321216485	1436.4781446301229	731.5727304923277	1038.1203494778435
29x11	912.3121066827952	1368.9934185378684	652.2246392156615	913.30399101285
29x13	785.4348604435634	1303.2269641163812	581.7385323321809	786.4185399645661
29x15	656.2154295656266	1251.0843656604457	536.3799865766805	657.2047550041004
29x17	529.7199731933842	1175.9155794528785	450.0724941606626	530.7063689084575
29x19	403.4660456593589	1100.6460148476438	381.66745997006325	404.4347289736626
29x21	277.5000720720627	1046.4364720325834	356.7406480904578	278.5000718132762
29x23	149.0365391439294	990.0165099633439	357.536977108662	150.00563322755582
29x25	15.052574530624364	950.3173049039987	331.63320099169823	15.536408851468865
29x27	52.3178745745655	902.4589519751023	256.7901088437796	52.821965128154474
29x29	168.54604712066083	766.0125129526278	227.94247081226447	168.81637953705803
29x31	211.0304243468224	635.8904308133593	264.4814549264278	211.16401208539287
29x33	136.22077668256046	508.080407022353	346.04638417414526	136.91055474286856
29x35	117.71533460004248	385.39499218334413	441.16629517677364	118.7000421229915
29x37	11.806777714516539	261.6811036357038	541.4384544895198	0.4472135954999579
29x39	70.64283403148566	148.0581304758368	413.0159924264431	70.97048682374971
29x41	149.41770310107182	92.23041797585022	284.28761844301266	149.7526293592204
29x43	103.63517742542818	158.72129661768787	161.59285256470955	103.6004343620237
29x45	4.4045431091086975	269.4264278054405	45.88027898781741	0.4472135954997546
29x47	102.87400060267896	373.7804970835155	21.332135383031783	103.20784853876177
29x49	228.66283038570126	479.3874111822294	16.00281225285106	228.92158045933542
30x6	1217.8690405786658	1511.7053284287913	837.2288814894048	1218.7713485309705
30x8	1097.5548095653355	1433.347327063472	741.4805189618942	1098.448888205546
30x10	970.0176183966969	1356.21524102924	648.2590377310598	970.899057574988
30x12	844.844754969811	1282.8106095601174	564.082139408792	845.6956071779018
30x14	714.5236175242915	1223.2293325456187	502.64102498701794	715.3551565481303
30x16	588.151035024168	1168.1018106312479	446.79015208484606	588.9426457644241
30x18	460.9691638276903	1088.190410727828	362.6565455082808	461.7070174905293
30x20	335.51794288830496	1017.6910582293626	307.04769987739684	336.15426518192487
30x22	210.67892633104043	956.8365638916606	292.1503208966233	211.12273681439422
30x24	91.85777049330126	911.431538844251	328.546876411875	92.31061694084819
30x26	9.780081799248958	882.0562623778598	331.6954175143214	0.5000000000001819
30x28	93.9306659190704	841.2737782672178	284.4126755262504	93.90085196631614
30x30	167.61390157143887	702.8376910781037	295.0478266315481	167.90241213276238
30x32	210.90730191247545	578.3371767403511	349.4886121177629	211.35394484134918
30x34	181.13530854032828	456.00745607939336	433.0166278562526	181.57092278225588
30x36	55.5892975310893	336.07702986071496	534.6252612812086	56.07468234417361
30x38	37.8941948060651	228.08237546991674	468.0758165083942	38.4911678180854
30x40	158.90201383242461	153.04002744380313	340.72459553134684	159.59401617855244
30x42	167.10122680578954	163.38304685615384	214.58243171331586	167.6520802137567
30x44	58.207387847248285	219.62263089217373	90.2136353330246	58.88038722698745
