	dist_type_central	dist_type_parasite	dist_type_portal
25x21	993.4769901713877	313.1774736471321	505.7374121023674
25x23	955.2903328308103	363.9593658638282	383.0864393319084
25x25	940.6777397174869	439.78518619889877	264.41181894915354
25x27	937.8640679757382	407.450377346739	153.60992806456233
25x29	876.2893129554874	276.80671957161735	70.51354479814495
25x31	767.0570057042698	151.1120445232611	52.32064602047627
25x33	665.3238083820536	46.12992521129832	151.1104562894312
25x35	573.8398469956577	89.40341156801573	145.04402779845844
25x37	507.05562811194585	145.31692950238119	50.91178645461195
25x39	454.5931037752332	122.80183223388795	6.007495318350245
25x41	369.97157998959864	56.202935866376144	0.4123105625618322
25x43	264.2163128953244	117.76018002703636	77.091244639064
25x45	176.01161893466033	217.01126698860602	128.82503638656556
25x47	104.44850405822015	290.2107682357774	120.61297608466487
25x49	56.035881361856084	213.72978266961303	188.21801189046707
25x51	123.04247234187083	186.80538000817867	293.47342298749993
25x53	241.27415941206837	133.69375452877338	406.4598627170956
25x55	364.28939045764156	101.72000786472631	452.05769543278444
26x14	1170.4679833297448	519.202176420708	945.1510461296649
26x16	1091.842593966731	441.7366296788164	821.1699276032944
26x18	1023.5677310271165	377.9371640894821	688.4856570764563
26x20	960.1990626948143	367.03138830350736	561.698353211045
26x22	911.3136507262469	393.6099211148011	437.07684679012675
26x24	888.507833392593	443.3242267235123	313.80498721339643
26x26	872.3560568942017	482.1384552180007	180.8006913703595
26x28	874.0544891481306	358.8133916118518	58.15883423866056
26x30	864.9067695422436	246.3552719143634	0.5656854249493666
26x32	760.2358844463998	139.28460072814934	57.245087125446865
26x34	671.5761833180208	103.98735500050009	160.06676731914123
26x36	593.9325382566608	112.95246787919251	70.2015669340792
26x38	533.557691351179	96.55677086564157	34.348362406379806
26x40	462.03203352148654	54.6003662991375	10.285912696499235
26x42	353.6068438251724	34.48187929913354	14.261837188805808
26x44	268.8621393948952	149.80270358040943	133.11818057650893
26x46	198.14666285355383	279.57700191539396	50.94801271884871
26x48	127.95475762940583	278.82686384206227	91.36093256967135
26x50	123.92013557126239	225.33619327573615	203.7827274329206
26x52	205.35406010108508	133.17390885605158	311.9450111798551
26x54	322.4310779065816	43.71269838387921	432.89721643826744
26x56	426.98538616678707	84.07449078049811	520.473361470114
27x15	1087.0689858514038	524.4808671438836	883.4324988362155
27x19	940.8069408757567	423.4407868876122	624.1917173433175
27x21	882.6843150300111	429.3122406826993	495.3867176257351
27x23	844.6567409308944	465.4563459659777	367.1994144875506
27x25	819.124782923823	453.33498651659346	242.6281310977768
27x27	819.7970785505398	435.3029404908723	109.84648378532634
27x29	835.2202164698841	326.93028308800024	6.099999999999909
27x31	844.0005035543521	222.1041422396259	0.5000000000001819
27x33	755.269408886657	161.0437207717211	82.27198794243412
27x35	675.6166516598003	135.91122102313693	136.23164096493875
27x37	608.2281233221626	31.283382170091553	29.567718883944895
27x39	548.8030703266883	106.91309554960985	88.07161858396827
27x41	442.90668317378095	32.374835906920225	0.3605551275464494
27x43	351.9615035767406	92.02010649852583	86.51300480274637
27x45	284.56923586361205	212.81412077209578	50.148280130029924
27x47	204.26463227881612	245.09761320747285	10.031948963187576
