	dist_type_ROI	dist_type_ambigious	dist_type_central	dist_type_portal
39x29	719.2578600196181	434.76981173949935	513.1499480658647	97.26000822537469
39x31	832.7046189375919	314.5429420603807	388.5107236615227	0.512249938994446
39x33	949.7985152652118	203.1389170001648	264.94720153268236	58.88615796602835
39x35	1067.5315184105807	127.78334320246891	151.65112198727698	90.32000221434912
39x37	1187.3129117465203	49.793075823852845	89.56936083282007	44.69933332836228
39x39	1308.5242878907527	32.12183058295346	33.97958210455157	130.63128262403362
39x41	1432.4525370147526	84.3734010218864	98.60745813578235	207.04731536535328
39x43	1555.8360326204045	208.8922219710442	225.4276833044247	297.11580301289945
39x45	1680.7380438366952	336.2926879966322	353.41031677074767	408.09299430399483
39x47	1804.8108524718043	463.12764244860205	480.46370643369124	525.0929948113956
40x14	141.04265595911056	358.2368920142088	364.8454341224512	786.3910673449947
40x16	58.83049889300633	243.8492722974581	252.17658019728924	659.6522626353977
40x18	108.67247305550758	151.40603158394973	164.9521942867084	534.0399483184754
40x20	221.43112066735372	118.71605283195652	152.72007464639307	409.6457752741994
40x22	341.26001816796537	183.19748906576183	228.05587034759685	287.57997148619387
40x24	464.97514815310313	285.5871992929655	336.35428999791276	174.8541346379891
40x26	590.7265228513106	401.9199731289799	455.3431066789086	100.7129822813326
40x28	695.7747235995284	483.3808705358539	555.4761074969831	120.8992390381347
40x30	803.889546641826	357.48018574460866	432.620622716948	59.667773546530356
40x32	915.8737803867954	233.7685641826121	313.6636121707458	55.60990559243915
40x34	1030.1840445279668	118.91158732436462	189.77451251419416	142.5517646330624
40x36	1148.0429129610097	60.3003316740461	66.50360892462876	115.65089709984976
40x38	1265.5842054956286	0.1456021977860401	60.872828092671696	122.17586177310197
40x40	1386.9009748356225	27.058344369159013	51.309199954783985	214.8808832818778
40x42	1508.6281027476589	145.53883467995766	166.46943383095905	290.3777408824582
40x44	1632.5264921587031	272.8201378197733	292.5908877596842	383.3024753376897
40x46	1755.1297393640166	399.1966457774917	418.41630226366686	489.9153008429114
41x13	226.0084715226401	404.48771205068755	409.4445862384798	846.3831219961796
41x15	138.41673453741075	279.5789555742706	285.32611587444984	721.3450439283547
41x17	120.52813945299279	159.50972509536814	167.1186177539771	597.2531727835355
41x19	193.65937622537143	70.16804115835086	89.32499090400192	477.7563332913548
41x21	302.7741732711033	97.44023809494718	142.3467597102231	361.33779210041115
41x23	420.9342414202011	202.0855155621007	254.66180632360258	257.3277979542823
41x25	541.9168858782684	323.1046752988885	377.87732295018736	178.16214861748819
41x27	665.4870688450679	448.3708273293436	503.7978947951253	152.34499926154464
41x29	781.3278259475984	413.45864557413677	480.7142307026073	146.26131272486234
41x31	889.0194148611157	285.49045518195504	355.07300657752035	88.22561986180699
41x33	999.5713401253562	158.3082562597414	232.10847464062982	141.67393549979508
41x35	1113.0046576721954	34.18841909185	120.49982572601468	198.46654126073744
41x37	1228.209092296585	0.2332380757942238	26.45551738295852	160.17507421568473
41x39	1345.3418673333556	17.123667831396666	20.35927307150266	206.1099221289458
41x41	1465.7088794163735	103.91553878030025	104.95389082830651	300.04299558563315
41x43	1586.8708058314014	223.90085841729186	231.01565834375847	376.21897134514677
41x45	1709.6563520193174	346.1041490649889	358.75312124077766	469.55264028647525
41x47	1831.4761893074121	469.915686054424	485.67634490471113	573.77465262941
42x14	220.91346541123292	331.1463108657562	334.8277754308923	770.4336695653949
42x16	173.19948498768738	202.85280772027767	206.93008867731135	643.5422453887544
42x18	200.68311538343266	76.82104399186446	82.62174532167647	518.8109027381747
42x20	281.50636227268507	12.558343839853874	58.13116203896144	396.11881045969
42x22	387.43453485718084	125.25429653309328	180.5768501220466	276.55046338778743
42x24	503.21584792214213	250.5880076939041	306.5055131641194	169.58829440736716
42x26	622.2844327154586	377.70914100667454	433.7146010915473	111.1496072867554
42x28	742.7799555723079	476.03056876633474	531.6795862171127	143.21111130076454
42x30	866.1509958431035	348.2195106538406	408.88177704563964	155.9068555259838
42x32	974.9978678951051	220.8571538347805	281.2273855797117	89.41656669767598
42x34	1084.0344099704587	96.108490779951	154.95561299933576	125.76152829860216
42x36	1195.08666463985	0.12649110640719535	35.351039588673515	225.10010217678743
42x38	1311.0844518946903	20.68139260301411	62.899602542464386	228.70566236978053
42x40	1428.0230374892415	91.79757948878618	91.8082545308428	293.24234960182685
42x42	1548.6685245074236	188.49254308857974	188.48288728688365	388.4748110238296
42x44	1668.4471920920964	306.77189049846174	307.6583052673862	464.43931013642685
42x46	1788.3918554947627	424.9936808941988	430.7797451134397	555.6475040886984
43x15	243.7627124890109	268.5817938729281	270.9466737201253	699.5837190787104
43x17	233.4110819991203	142.76152562928138	144.55757745618166	572.4003609362941
43x19	282.6364576624891	28.509773762694007	31.385461602468034	446.10519745907465
43x21	367.20452829451875	61.4684113996774	116.89262423266909	320.1470374687232
43x23	471.54218899267136	186.73713074801177	243.05447126107362	195.94722758947097
43x25	584.6449602964179	313.8177330872174	370.1097804706058	83.69354574876107
43x27	702.6436308684512	437.5169391006475	477.69169136588476	58.31836760404023
43x29	821.2247655788275	416.63686298742203	446.2837612999154	158.08844233529535
43x31	943.0629030981975	295.50207985731674	346.2869896487594	70.0031370725625
43x33	1059.8660722940424	175.36639130688656	219.2900617903147	40.531607419395336
43x35	1168.7382230422693	73.95264701144887	95.82251301233921	145.48386164795087
43x37	1278.3419924261275	38.393353591475126	50.455223713705294	248.07573359762551
43x39	1392.5817132218851	105.84020030215383	118.24173544057957	305.36219150379446
43x41	1509.1476248531824	174.78545019537563	174.39034835678302	378.6342213799491
43x43	1628.3309432667554	271.7499232750585	271.5600500810091	472.0222672713654
43x45	1747.1581215219192	385.58918760774435	385.95821224583403	549.530328189446
43x47	1867.0160120363194	505.4073497684817	506.43466429540587	641.3186019444628
44x14	320.76204575978124	342.9114900378814	344.4974455638242	761.2001642143806
44x16	287.8962660403917	222.26259244416266	222.98488738028854	633.1001974411316
44x18	305.33037844276157	115.2850380578503	116.71263856155421	505.80098853205095
44x20	366.2875471538721	70.12679373819962	98.69755417435636	377.95143497544746
44x22	453.35068501106315	144.59282001537989	196.8998821736571	250.45678988600014
44x24	556.3318595946133	261.75824342320186	293.12369061541233	122.77661829517842
44x26	667.2673434239083	385.2639972797873	405.7237330992605	0.5546169849544859
44x28	782.824716012467	368.7433470586285	418.3519762114196	76.77041096672583
44x30	900.7280810544323	330.86570689631776	361.0406569903174	117.78673949133659
44x32	1021.3832434497835	244.04649147242404	266.44536025234135	0.3000000000000909
44x34	1142.9569442459328	158.83971921405538	179.26242327939207	60.1908331891163
44x36	1252.5079250847082	96.33993149260615	96.15062350291885	166.5095264541942
44x38	1362.2369558927699	120.65290713447409	136.8657882744992	290.1846377739526
44x40	1475.1957052540527	191.6260128479436	196.86352836419513	386.1811605969412
44x42	1591.7274421206666	260.7505512937606	260.21500725361733	465.2769605299624
44x44	1708.3277443160605	356.0161260392567	355.72180422346884	554.7414550941725
44x46	1826.4281191440305	466.51807510534917	466.61435297255935	634.0011312292748
44x48	1948.3083490043352	586.4226315550925	586.9543617692945	728.6809060212843
45x15	354.54832392778314	305.76663323521745	303.15961802324495	699.295669942264
45x17	347.39517555659904	201.82816453607288	188.82787929752305	572.4263166556898
45x19	381.4260510243109	130.78253858982885	102.47727748140046	445.3927619528634
45x21	450.6367037869869	143.8171019037729	114.05612127369535	317.98037486612276
45x23	539.426122096437	229.66136200937248	208.56879248823378	193.83524240963007
45x25	640.9904476667343	341.593375228502	325.25189315359864	76.84499983733508
45x27	750.4746180917781	325.81355465971626	363.9620205461003	11.462652398114647
45x29	863.8435203206653	306.2001103853489	368.1622300019379	129.71039896631243
45x31	981.6451582929546	244.866038478185	275.61222178996337	67.91830975517567
45x33	1100.4350603284142	161.4044671005106	182.03978136660072	0.49193495505052315
45x35	1221.8206408470926	101.49462251764886	102.29935679172199	94.00041702035156
45x37	1335.5812003768249	125.98088267669843	127.35926664361746	220.78003261164739
45x39	1445.4614214153214	201.4624550629725	222.21701285005204	348.4202072211083
45x41	1559.6775307735895	276.5693403108888	276.73019350985214	470.6081172270623
45x43	1673.327201117582	345.8057865334243	345.20232038617615	550.6022175763555
45x45	1789.5186737220713	441.10402809314746	440.75358603192353	638.0219146706485
45x47	1906.391334013036	548.8511987779572	548.8056107584913	718.991681732133
46x16	403.0997266186124	286.5250243870507	223.82070860400725	641.5508940060795
46x18	414.7244694975206	207.56393135610034	104.40184672696171	516.4677585290295
46x20	462.8761082622434	185.49116313183228	33.60671956618199	392.8680842216633
46x22	536.2883079090952	226.3684368457763	128.16781655314261	271.0099429910275
46x24	626.8093228406866	316.73321139406903	249.49758956751452	159.65214436392662
46x26	727.7116423419379	292.18322059967727	324.8483867898987	67.46669104083928
46x28	835.2130774838241	254.928783780882	302.8561453891923	96.42118439430247
46x30	947.0407858165349	258.5464174959692	307.86238808922405	151.5132007450176
46x32	1064.727646114254	156.87600326372404	188.88790432423127	61.00819944892639
46x34	1183.7147502671414	82.79233056267924	100.08281570779239	59.69765489531431
46x36	1303.1280544904253	43.54177763941173	44.25433764050679	169.5935328955679
46x38	1421.9523719168658	144.2924391643585	144.78697455227143	291.67363267871883
46x40	1532.664310930479	268.92402272760967	270.52129306211725	419.60010724498136
46x42	1643.5607740512671	356.24668138805185	356.16751395937297	545.1868468699515
46x44	1757.2195593038455	431.73382957558505	431.07124654748236	636.7255449563811
46x46	1871.0097129624958	525.8913823214831	525.5104813417144	720.9059203529962
46x48	1990.356090854097	635.1680158824126	635.0594369033507	806.3758481006242
47x15	466.33924561417797	372.2001235894478	281.9400858338521	715.8789087548256
47x17	462.9111072333436	289.49883108572317	152.2623170715591	590.8953656951458
47x19	487.7364419438026	244.25453281362084	28.52011220174281	472.6589857391903
47x21	544.3207205315636	251.186000406074	48.76276038125825	354.65866237834933
47x23	620.1815250392426	309.2862816227069	174.84051017999244	245.05379817501324
47x25	713.0104136686925	281.2703503748661	304.2027777650954	150.14809356099073
47x27	813.174744566013	214.19861157346443	250.62626598183977	120.877976488689
47x29	918.1866409396293	192.30014976593205	257.78151136185045	180.68831616903182
47x31	1030.5037744714964	189.57412587164913	231.36047458457514	145.3401155909818
47x33	1146.8835820605334	70.97401496322442	106.08878734343232	93.06100579727256
47x35	1264.671464847689	7.383359668877258	44.244705897994	139.91266561680567
47x37	1381.5605444568837	69.92151314152183	71.54815161833325	235.33001933455054
47x39	1502.2152836394657	198.60019738157396	199.8156110017437	352.67174312666486
47x41	1615.814999930376	325.72017745297904	326.86277548843054	474.53804273208715
47x43	1726.9732941768389	438.5677585048868	438.3459350786781	598.5115193544735
47x45	1840.3204504650819	518.1721339477842	517.4873142406493	723.2146848619715
47x47	1954.4316814869742	612.6759646011915	612.2686972236949	806.4097206755389
48x16	518.6021126065724	372.7212245096863	223.9063893684143	669.5973052514473
48x18	527.948558478949	316.7511332260709	107.27087395933704	554.4929940044327
48x20	565.8448805105512	300.55047629308456	20.780490850795587	437.48895848924
48x22	627.7283036473663	327.044374970737	118.23883964247963	329.464570477616
48x24	707.6726907264406	295.99884661937426	242.58836987786555	235.82696453120028
48x26	798.4614495390493	196.10213257381986	221.60994201524448	178.69540117193839
48x28	896.9397861618138	145.10416947834415	188.56452476539704	194.39593617151564
48x30	1003.6787567742983	149.11970627653426	234.4717611995095	231.88705612862512
48x32	1115.2002469511922	118.41381169441345	165.74459508532982	128.19372371532074
48x34	1228.4550070718915	0.32310988842802973	42.727326150837136	60.59756100702353
48x36	1345.9147742706448	12.210634709137912	50.63061919431774	153.2563199349379
48x38	1462.1297715319256	138.39013259622251	143.37025074958927	275.02150606816195
48x40	1582.110516746539	266.78951853474325	268.04732268761825	401.27228561165316
48x42	1699.438052180779	391.7950653083831	392.2697709485147	525.600469177873
48x44	1810.2582732858868	519.4851066200071	520.0960065218729	653.643309458607
