	dist_type_ambigious	dist_type_central	dist_type_parasite	dist_type_portal
23x27	542.0049641839083	541.7825958814105	118.88726256416209	79.61721673105654
23x29	475.2951996391296	474.8692102042414	239.94467445642584	144.14245314965348
23x31	434.7228418199349	434.33409859231654	277.4456148509108	252.81382319802086
23x33	427.3604427178539	427.2778814776165	327.03698261817425	309.2193849033399
23x35	456.12459438184203	455.7662181425911	330.47342646572946	269.9308904145653
23x37	485.93824504766	485.90647042409273	222.14017646522214	245.88187814477064
23x39	496.08194887538514	495.88976597627044	151.8299706909012	272.9973259942305
23x41	535.5342349467492	535.2374770137083	151.88889623669004	347.90124575804555
23x43	597.0759261601495	596.7967003930236	97.31999588984777	446.37551635366424
23x45	674.4915017996894	674.2403325224623	160.8122694324037	556.0206704790752
23x47	765.4551466937821	765.3087099987819	268.14350933781725	672.1221775838079
24x16	739.4671338200232	739.4484985446926	294.4217417243503	357.1585670259079
24x18	652.4779551831614	652.3173476154069	173.15334822058716	291.51665818611474
24x20	583.9531601078976	583.5581660811541	71.85021363920904	268.06337534247393
24x22	529.7314432804607	529.6230754036307	83.96000238208649	202.66495010237966
24x24	490.34626948718574	490.1720351060429	127.78506955039803	72.94123662236616
24x26	483.19712126625916	483.062913086898	117.66655429645255	7.401216116287945
24x28	510.6750328731571	510.36605412194103	203.2354034119058	58.153496885398205
24x30	505.34343252880996	504.96588478826953	213.03611149286402	173.00862637452536
24x32	483.34603298258287	483.26426269692246	245.74561562721726	288.39429189912875
24x34	467.6258098095098	467.41281326039814	324.1346911393474	234.11659061245516
24x36	431.18155294492783	430.87577281624874	311.34079655579995	192.93577065956381
24x38	431.10147714894214	430.79559375648205	228.18458230125884	198.04626631168784
24x40	457.69702861172243	457.4286064513236	203.2722558540642	261.27458735973545
24x42	513.297613475847	513.0904793503773	164.80412616193817	361.22020984435545
24x44	589.4942690137029	589.1765212565755	169.0853429484652	474.02520312742865
24x46	679.6536838714261	679.4987049288618	245.90244000416124	592.9412196837055
25x15	750.087842322484	749.909602018803	347.25381380195074	441.292206140104
25x17	653.2168007637277	653.2073092058903	219.7167922576695	369.80988196639646
25x19	570.7480610567152	570.5504265181123	95.12491366618934	328.7463295612591
25x21	503.96648182195594	503.52792852035515	3.7436345975533687	269.088265816256
25x23	452.6719717411274	452.39154943477894	112.66886881477069	145.501182125782
25x25	426.94069517908423	426.8897248704866	163.90179132639187	23.77387641929681
25x27	437.49892479867873	437.1828784387604	198.54477882835428	0.38626415831620803
25x29	481.9810971397116	481.53286284531	165.2180922296343	100.64958022763965
25x31	515.2137517574624	514.8852007972263	165.9884634545427	228.8954564861436
25x33	446.1634866279396	445.83568363243387	237.06593344468527	206.73136385173837
25x35	390.8378712458654	390.53199817684555	344.9939153086614	164.18270798107778
25x37	371.687211509893	371.636305008001	310.4450083348094	131.5490144394856
25x39	384.8921474906963	384.64306207183813	263.009135202563	177.09332342016737
25x41	432.2495760553154	431.95756273041445	242.61577854706823	277.6272609092991
25x43	505.1924484787953	504.91346783384597	212.1188581904023	394.2968551738655
25x45	593.6457627238655	593.4844998818419	249.25282666401208	515.0972059718438
25x47	692.6017467491691	692.3687598382817	328.45775923244724	636.1453132736265
26x14	771.8894783581387	771.5638449279486	414.0047907935365	528.9339909667369
26x16	665.5680572263063	665.3689493807175	286.97748831572125	454.00272994773945
26x18	569.6340934319153	569.6312494939159	159.15929253424056	400.2484733262577
26x20	487.95889376052986	487.72221807090153	38.536761669865136	347.85612255643844
26x22	426.4813402717638	426.1046979323274	55.2283767641239	226.4657448710508
26x24	378.9306427303019	378.6930049525601	176.00327269684513	111.25480663773608
26x26	369.5026928183337	369.34027670970283	226.51984460527973	0.1999999999998181
26x28	402.51138865875595	402.12945428058373	158.1444213369541	54.40715026538316
26x30	466.2278949183545	466.0146886097049	99.02065441108736	171.72411013017393
26x32	435.7385573942247	435.3392359987784	149.85009309306423	203.80522662581555
26x34	363.7452999009058	363.35415671215316	256.2626059338349	125.65191283860335
26x36	319.11498617269615	318.763696803761	376.8088831224658	87.61811684805835
26x38	315.9697105736559	315.5931209643199	335.8931645627819	89.8989321404876
26x40	350.3145312429959	349.94992613229675	317.5772517042115	190.76171209128955
26x42	417.6711744901723	417.50646701578165	275.15677349467535	311.4135674629479
26x44	505.0014641562936	504.8538786619355	277.0989693232366	435.9460962091532
26x46	606.173493316889	605.9178690218671	328.25786205359987	561.6842386964411
27x15	687.5824058249308	687.2240135501668	359.93455627377585	536.1735957691315
27x17	581.2062800761877	581.0040447363511	237.05564747543963	476.10026254981193
27x19	486.60286887769144	486.61692531189226	124.21123942703413	426.58034647648725
27x21	405.13008774960156	404.83911372297	70.70550190756036	303.8669248207181
27x23	345.9415962268775	345.9236736622689	141.14017146085664	176.35347459009705
27x25	312.0074108094226	311.9240683243276	173.61735051543633	48.88460289293556
27x27	325.557002689237	325.28080484406064	185.5163658548753	6.761804492885198
27x29	382.1220161152717	381.8483929519672	72.46485492982065	128.83910586464063
27x31	425.3748281222099	424.86504257234395	64.06827920273801	228.9659896141779
27x33	353.8018660210825	353.70004297426937	175.58963636843717	117.50115063266404
27x35	284.95819903978867	284.64036115772444	300.14952140558233	51.50587539300707
27x37	254.96758460635732	254.85962646131296	414.9871193181783	14.541980607881413
27x39	273.81979037315756	273.4998310785583	376.9254536377188	111.01206060604436
27x41	334.142394795991	333.91427043479274	347.60083429128895	237.89228655002665
27x43	419.096258632787	418.9489634788465	326.54824145905343	365.14018403895244
27x45	519.7440697112381	519.4759840454614	350.6332243242218	491.64684276419433
27x47	629.8898602136727	629.8584253623984	409.66995984572765	617.4762473164454
28x14	718.0565649027935	717.7407543117499	437.0396210871502	619.2118461399134
28x16	602.2651017616743	601.8678034253036	317.92906881881675	555.0418117583574
28x18	495.22178465814676	494.9954100797298	211.25590169271007	499.4942802475319
28x20	400.3374226824168	400.3356241954993	135.48273690769605	373.5806900791314
28x22	323.0652243742741	322.67931325078786	143.27016158293384	247.86484058857576
28x24	269.42379108014956	269.13613506922496	144.9477809419656	128.3709437528602
28x26	255.9743276190016	255.74044732892753	118.74433207526153	44.00791292483668
28x28	298.63422576791146	298.2621678993163	112.56038734830302	84.04713439493341
28x30	378.99517305633304	379.07484907337215	0.5841232746602362	204.3942787849015
28x32	339.953307970374	339.518676364055	102.90000777453818	150.0035052923763
28x34	269.53941455750015	269.38117231907637	231.4800552963473	32.31495010053385
28x36	208.88381555304827	208.58535039642618	359.2000673719316	0.2973213749464056
28x38	201.65043515946095	201.495553300811	446.46995195645593	48.15452211371252
28x40	250.4145083656297	250.14193171077898	426.01101628948516	173.5317434938059
28x42	333.88479450253527	333.7467542913342	387.2379836741223	300.9294535269024
28x44	435.0784044284433	434.8739794469199	389.2097866189907	427.6422546942716
28x46	547.6386582409978	547.8172140413263	428.0386197529377	555.1069266366618
29x13	756.088236649665	755.7732871701671	515.9865711430872	702.3328994145159
29x15	636.9624497566554	636.7778595397297	402.01666930613715	634.8799905493953
29x17	521.4872842169785	521.040024950099	297.05344232982713	572.9665152519821
29x19	412.11687905253274	411.8662428507584	213.70728111133698	448.3154715153158
29x21	313.83353867934494	313.8086200218214	127.46627004819725	326.42593340603327
29x23	243.4092660520548	243.01035121986058	100.17000948387694	212.1129670717941
29x25	198.2336893668682	198.1042038927998	62.36950857590585	120.08395230004709
29x27	217.65047943893887	217.2436678018486	98.0061793970155	97.51436407012059
29x29	294.437264625251	294.4977127245644	65.77037935119412	169.11009076929778
29x31	344.8166318494508	344.19138513332905	64.51999380037216	209.21020434003663
29x33	255.20172099733156	254.9008403281556	176.34125552462217	81.89113749362609
29x35	185.45450870766115	185.2271437991742	300.31426006768334	0.23409399821460697
29x37	140.69845343855067	140.50243698954125	426.6612412675895	35.696145450174384
29x39	167.86620029058824	167.46122297415567	419.8813418098017	131.93491274109414
29x41	247.92161099831532	247.78459435566202	378.366020144515	248.8938030566456
29x43	351.1964265194053	351.0907717385919	371.944525433565	372.13079689808006
29x45	466.054405836915	466.2789178163644	406.36607781654214	497.3243500975996
29x47	582.9430191708279	582.9207524183714	472.7436975782968	619.4870164902572
30x14	676.9189351761404	676.6408240713827	482.65056179393395	712.7568483010178
30x16	554.2626889842035	553.9759998411482	371.56868597878366	645.3471069122414
30x18	436.78229863399906	436.4502450451826	247.87677664517102	524.2398844040771
30x20	326.8044436662388	326.51490685725184	130.77899066746133	406.82598786213254
30x22	228.41226324346076	228.33020387149838	55.12968347451301	293.69733059733466
30x24	163.97803267511136	163.66158742967113	70.38036089705675	202.4960128002528
30x26	142.4868976432571	142.1040323143577	12.558503095512771	154.80528414753798
30x28	210.2982463074763	210.35511023029596	138.3599378432934	173.20228751376254
30x30	316.38778231783846	316.4467550789547	96.0805328877811	257.59283530408976
30x32	256.25894716087475	255.64703792533953	153.04694704566964	157.53351389466314
