	dist_type_4	dist_type_ambigious	dist_type_parasite	dist_type_portal
33x33	157.406035462431	405.7973139388677	270.820715603515	446.24596356717865
33x35	262.89009110272696	405.2764488592943	256.2689992956622	341.80286716176045
33x37	382.7229415647828	444.06851948770276	299.0619501039879	260.07893032693
33x39	405.94642503660464	406.33102268962887	380.1848234740575	225.308011397731
33x41	292.1065730174516	292.6339864062268	478.29661299239825	256.0207999362555
33x43	186.09293377234903	185.97252485246278	364.17987313963386	337.59825236514513
33x45	126.69826360293933	126.81423421682561	238.42116097360136	313.01956807841924
33x47	166.35492177870776	166.6408113278376	112.67368814412708	247.78652102162465
33x49	256.97937660442716	257.2353008434107	9.602083107326612	168.94081803992805
34x26	353.21902553514866	474.7467535434022	249.08568806737986	635.7816291778173
34x28	252.72000316555875	530.1773288249884	207.12508298127506	603.8092413999639
34x30	184.93917919143058	523.6480688401326	233.3154516957676	577.6324956232985
34x32	171.9921509837006	477.91934465974504	314.2904707432284	484.58735022697385
34x34	234.1376731754207	454.7142509312857	311.3079664897771	417.3397297166899
34x36	335.6777770422109	471.4165567733066	321.5368874639426	347.87780900770304
34x38	453.71025996774637	453.9273069556402	379.969735636932	291.52872928752663
34x40	334.3910285877894	334.68845214617096	401.41320356958875	286.3287620900143
34x42	215.4675149529503	215.91676637074727	444.2583144973202	333.6136238225296
34x44	107.54803577936667	107.48106810038655	315.66783174723383	395.3628460035162
34x46	79.23566116339259	79.71380056175946	197.9234447962142	338.3209866384291
34x48	169.1587715727448	169.44996311595955	91.08177644293055	249.1896667199504
35x27	337.2918320979623	449.04763667121097	274.6615735773756	561.5676094647906
35x29	262.0661366907217	522.7303893978233	267.98854453129144	538.6975589326538
35x31	225.2285283883907	551.5143606471188	318.43412191535026	488.35017149582313
35x33	242.36377617127553	515.7823184251281	378.7268144718567	404.2714434634232
35x35	320.77758649880786	517.6588258689308	369.94304967116227	337.09562441538736
35x37	422.20787534104596	514.6417103189361	340.5071071211289	312.5000639999934
35x39	389.08437388309466	389.19384630284145	332.4193887245447	336.27585402463853
35x41	257.36464403643294	257.541375316666	375.073006226788	355.32993119071756
35x43	132.7750353040811	133.14356912746473	391.3543279433612	413.25223532365806
35x45	21.023796041628184	20.649455198624043	281.53756410113357	420.0021428516765
35x47	87.88202319018399	88.32581729030328	174.44497699847926	330.8066655918528
35x49	205.885647872794	206.67970388985978	120.84411446156598	276.4838150778452
36x26	367.1918980587672	367.6173146085479	351.5384616226224	527.9406121904242
36x28	340.6820952148793	439.96055505010884	320.3998907615296	491.56778779736965
36x30	295.167511762389	523.9998664121966	343.50234351456766	475.7838374724387
36x32	283.87942863124147	587.4333408992037	362.81087359669885	402.78223645041714
36x34	328.0942699895874	573.1068399522034	318.56310206927566	315.2989850919278
36x36	412.83042523535033	571.1619385078106	301.9459554291128	258.756178670191
36x38	449.74002490327655	449.75447746520524	277.9285699599809	266.3874809370741
36x40	319.83234670683305	319.862673658556	293.7109633636441	319.6252962454629
36x42	192.187616666631	192.25368657063484	358.0255298159616	406.0321169562822
36x44	63.60699647051394	63.773427068019274	363.9989697787618	496.9090963144066
