	dist_type_3	dist_type_ambigious	dist_type_central	dist_type_portal
26x54	116.65371832907879	815.1405338958431	117.20959858305143	380.2003287741874
26x56	234.36520646205145	861.7910709679002	234.94861140257885	514.2000097238431
27x19	521.521667814483	601.2793443982587	522.4219080398523	357.7835239359128
27x21	394.87942463491305	521.9177713011888	395.75315538855784	244.95583275358024
27x23	267.23061201890766	394.2813716116956	268.0123131499745	158.20113779616116
27x25	140.46127580226505	273.4504891200599	141.05449301599708	140.34660665652015
27x27	50.03568726419181	159.4100686907824	50.815056823740804	213.73153721432888
27x29	38.31918579510788	38.73706235635321	91.04592247871406	295.1520963842203
27x31	52.891776298400245	53.07296863752783	206.7489782320582	226.4666421352159
27x33	151.67547593464164	151.6510797851438	329.49150216659615	164.95347829009225
27x35	138.15042526174153	138.45844141835494	354.9404738825936	184.81650359207626
27x37	60.56740047253152	61.450874688648746	291.89828707959225	274.58333889731904
27x39	120.39343835940588	120.52626269821886	281.061167719769	177.81164191357084
27x41	224.68653720238805	224.68075128946876	327.68893786638586	52.95507529972903
27x43	344.6564231230866	344.94818451471826	407.28055440936544	56.81769090697028
27x45	412.73343697839636	467.94069068633064	413.1814250423171	91.8568995775493
27x47	300.67806704181095	594.6202990144219	300.95398319344395	0.31622776601712554
27x49	201.0060944349694	719.1988946042677	201.596750965882	72.45170805440034
27x51	127.1271017525374	720.1842125456516	127.75953976122487	194.7339210307236
27x53	120.95821592599664	742.877304808809	121.36840610307127	319.89793684861456
27x55	199.54793910236242	787.9191455980747	200.1423993060944	446.1091570456722
27x57	300.11039635440824	849.0714045355667	300.5715389054659	572.7313942853142
28x18	577.2710368622348	577.6810971461674	586.1000341238686	402.2517246700129
28x20	454.7098965274451	520.5138710927883	455.7010972117577	276.09942049921057
28x22	327.30024442398445	475.49852786312596	328.3002436794709	161.27135517505883
28x24	197.50040506287576	356.3706076544472	198.5004030222609	79.91751998154106
28x26	69.79290794916038	239.32540608970018	70.71810235010534	127.94784093528129
28x28	5.57584074378049	122.31144672515302	6.040695324215839	209.7991658706013
28x30	54.400827199593294	54.415530871250446	133.32535392790092	243.1716471959671
28x32	136.90438269098624	137.149589864498	261.0000191570874	140.25979466689657
28x34	220.82123992043879	221.2248177759448	371.20563034523065	110.42653666578511
28x36	130.1879410698241	130.65259277947754	366.3775375210658	191.27388739710412
28x38	135.95414668188712	136.43654202595462	337.9407196536104	251.42778287213983
28x40	205.98611603697987	206.05601180261675	352.90208273684107	133.7343635719705
28x42	309.8125400948129	309.5083359135906	410.9924695173867	68.86806226401322
28x44	424.072941839019	424.26107528266124	450.91801915647596	115.97353146300239
28x46	330.44712133713597	544.5387956794265	330.97870022102614	7.021395872616498
28x48	213.67051738599767	669.0833206709009	214.01516301421248	53.03291430800331
28x50	114.22455953077692	659.0153640090647	114.9053958698198	155.21034115032413
28x52	64.93766241558114	671.7762276234548	65.20506115325696	272.3080975659741
28x54	156.95222202950805	707.867925534135	157.36136755887702	393.8895784353784
28x56	279.88833487660764	766.2677599899397	280.1286847147219	518.1805476858431
29x19	496.69598347480104	497.03812731016905	523.7996754485438	327.9208746023953
29x21	394.19720952842886	440.3807897717609	394.8661038883941	197.8060666410411
29x23	266.6121715151054	424.88686729528354	267.1760655448013	75.98585394663914
29x25	144.07279410075995	317.6274075076015	144.436041208557	49.37580379092583
29x27	51.379081346400184	209.13251779673104	51.652783080875786	122.40020424819554
29x29	84.52135824748672	127.76955818973461	84.7859658198218	229.99186942150806
29x31	131.94885372749553	132.36049259503386	177.58519082401014	154.9635440998945
29x33	221.16609143356507	221.4588900902379	288.57311032041764	56.766539440060754
